一	one	eins
確 ⽯➞石 隺✽ 寉	assurance	gewiss
午 丿 干	noon	Mittag
許 訁➞言 午✽	permit	erlauben
歓 隹➞雚✽ 欠 歡❄	delight	Freude
観 隹➞雚✽ 見 觀❄	outlook	Anschauung
権 ⽊➞木 隹➞雚✽ 權❄	authority	Autorität
羽	feathers	Feder
習 羽 白	learn	lernen
翌 羽 立 翼✽	the following	folgender
曜 ⽇➞日 羽 隹 耀	weekday	Wochentag
濯 氵➞水 羽 隹	laundry	spülen
国 囗 玉 或✽ 國❄	country	Land
団 囗 寸 専✽ 團❄	group	Gruppe
困 囗 木	quandary	in Verlegenheit
因 囗 大	cause	Ursache
咽 ⼝➞口 因✽	windpipe	Gurgel
姻 ⼥➞女 因✽	matrimony	Ehe
固 囗 古✽	harden	hart
錮 釒➞金 固✽	weld	verschweißen
園 囗 袁✽	park	Park
囚 囗 人	captured	Häftling
回 囗 口	-times	x-mal
壇 ⼟➞土 亶✽	podium	Podium
店 广 占✽	store	Laden
庫 广 車	warehouse	Lagerhaus
庭 广 廷✽	courtyard	Garten
庁 广 丁✽ 廳❄	government office	Ministerium
床 广 木	bed	Bett
麻 广 林	hemp	Hanf
心	heart	Herz
芯 艹➞艸 心✽	wick	Docht
忘 亡✽ 心	forget	vergessen
恣 次✽ 心	selfish	selbstsüchtig
忍 刃✽ 心	endure	erdulden
認 訁➞言 忍✽	acknowledge	anerkennen
忌 己✽ 心	mourning	Trauer
忠 中✽ 心 塚	loyalty	Treue
志 ⼠➞士 心 之✽	intention	Absicht
誌 訁➞言 志✽	document	Zeitschrift
串 口 中	shish kebab	Fleischspieß
患 串✽ 心	afflicted	befallen
思 田➞囟✽ 心 恖❄	think	denken
